mol_id,row_type,family,tier,variant,method,display_label,source,rotatable_bonds,heavy_atoms,conformer_count,clash_cutoff,clash_input_confs,clash_pass_confs,clash_fail_confs,clash_pass_rate,pb_input_confs,pb_pass_confs,pb_fail_confs,pb_pass_rate,pb_check_fail_counts_json,pb_check_fail_rates_json,post_pb_confs,mean_torsion_std_deg,pairwise_mean,pairwise_p90,greedy_clusters_0p5,clusters_per_100_0p5,cluster_entropy_0p5,largest_cluster_fraction_0p5,effective_clusters_0p5,simpson_concentration_0p5,singleton_fraction_0p5,greedy_clusters_1p0,clusters_per_100_1p0,cluster_entropy_1p0,largest_cluster_fraction_1p0,effective_clusters_1p0,simpson_concentration_1p0,singleton_fraction_1p0,greedy_clusters_2p0,clusters_per_100_2p0,cluster_entropy_2p0,largest_cluster_fraction_2p0,effective_clusters_2p0,simpson_concentration_2p0,singleton_fraction_2p0,greedy_clusters_3p0,clusters_per_100_3p0,cluster_entropy_3p0,largest_cluster_fraction_3p0,effective_clusters_3p0,simpson_concentration_3p0,singleton_fraction_3p0,energy_count,energy_min,energy_max,energy_median,energy_std,casf_best_rmsd,casf_median_rmsd,casf_hit_0p25,casf_hit_0p5,casf_hit_0p75,casf_hit_2p0,casf_opt_best_rmsd,casf_opt_median_rmsd,casf_opt_hit_0p25,casf_opt_hit_0p5,casf_opt_hit_0p75,casf_opt_hit_2p0,generated_candidates,finite_rejected,clash_rejected,bond_rejected,stereo_rejected,rmsd_rejected,pre_clash_passed,minimization_input_confs,minimization_failed,minimization_invalid,post_min_clash_rejected,kept_confs,num_target_confs,target_confs,ligand_set
1bcu_1bcu_conf0,generation,flowr_raw,fixed,,flowr_raw_fixed,FlowR,flowr_raw_fixed,2,16,952,0.7,952,952,0,1.0,1000,952,48,0.952,"{""all_atoms_connected"":0,""bond_angles"":45,""bond_lengths"":43,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":37,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":43,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":47,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.045,""bond_lengths"":0.043,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.037,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.043,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.047,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",952,127.7389599241661,0.04117277332756123,0.05763865797367664,3.0,0.31512605042016806,0.015025666713777724,0.9978991596638656,1.0166443817259856,0.995804939622908,0.6666666666666666,1.0,0.10504201680672269,0.0,1.0,1.0,1.0,0.0,1.0,0.10504201680672269,0.0,1.0,1.0,1.0,0.0,1.0,0.10504201680672269,0.0,1.0,1.0,1.0,0.0,952,34.77925799907933,210.16039369301808,35.291784525678516,8.798520479934082,0.045839578920564235,0.06668369864637555,1.0,1.0,1.0,1.0,0.043158597649434374,0.05065536566731524,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,952,1000,1000,core
1bcu_1bcu_conf0,generation,flowr_raw,dynamic,,flowr_raw_dynamic,FlowR,flowr_raw_dynamic,2,16,22,0.7,22,22,0,1.0,24,22,2,0.9166666666666666,"{""all_atoms_connected"":0,""bond_angles"":1,""bond_lengths"":1,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":1,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":1,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":2,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.041666666666666664,""bond_lengths"":0.041666666666666664,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.041666666666666664,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.041666666666666664,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.08333333333333333,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",22,114.76063158832174,0.06018650168247571,0.06580766418048864,1.0,4.545454545454546,0.0,1.0,1.0,1.0,0.0,1.0,4.545454545454546,0.0,1.0,1.0,1.0,0.0,1.0,4.545454545454546,0.0,1.0,1.0,1.0,0.0,1.0,4.545454545454546,0.0,1.0,1.0,1.0,0.0,22,35.275068199700144,75.74465062595851,35.29138830081925,8.442502313005631,0.045839578920564235,0.06151995732470346,1.0,1.0,1.0,1.0,0.04973932681103625,0.05051284644526586,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,24,0,0,0,0,22,24,24,core
1bcu_1bcu_conf0,generation,flowr_raw,chembl_count,,flowr_raw_chembl_count,FlowR,flowr_raw_chembl_count,2,16,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,35.29176814759087,35.29176814759087,35.29176814759087,0.0,0.05901527008662267,0.05901527008662267,1.0,1.0,1.0,1.0,0.050081884134030856,0.050081884134030856,1.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1c5z_1c5z_conf0,generation,flowr_raw,fixed,,flowr_raw_fixed,FlowR,flowr_raw_fixed,1,9,979,0.7,979,979,0,1.0,1000,979,21,0.979,"{""all_atoms_connected"":0,""bond_angles"":21,""bond_lengths"":21,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":21,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.021,""bond_lengths"":0.021,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.021,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",979,117.27249128068263,0.2765807820179821,0.5540412171775871,2.0,0.20429009193054137,0.9998306525461897,0.5076608784473953,1.9997652483578743,0.5001173781171715,0.0,1.0,0.10214504596527069,0.0,1.0,1.0,1.0,0.0,1.0,0.10214504596527069,0.0,1.0,1.0,1.0,0.0,1.0,0.10214504596527069,0.0,1.0,1.0,1.0,0.0,979,-4.877257391084376,-4.877228081335307,-4.877248371751229,4.101071115553218e-06,0.3476624647837684,0.347717451039499,0.0,1.0,1.0,1.0,0.399758628515785,0.39981209902717085,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,979,1000,1000,core
1c5z_1c5z_conf0,generation,flowr_raw,dynamic,,flowr_raw_dynamic,FlowR,flowr_raw_dynamic,1,9,2,0.7,2,2,0,1.0,2,2,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",2,0.0009055085930071982,5.941175004162133e-05,5.941175004162133e-05,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,1.0,50.0,0.0,1.0,1.0,1.0,0.0,2,-4.877253392588699,-4.877251760145125,-4.877252576366912,8.162217870477662e-07,0.4810712761290309,0.48107753752032295,0.0,1.0,1.0,1.0,0.44426940875943105,0.44427239774267924,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,2,0,0,0,0,2,2,2,core
1c5z_1c5z_conf0,generation,flowr_raw,chembl_count,,flowr_raw_chembl_count,FlowR,flowr_raw_chembl_count,1,9,1,0.7,1,1,0,1.0,1,1,0,1.0,"{""all_atoms_connected"":0,""bond_angles"":0,""bond_lengths"":0,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":0,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":0,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.0,""bond_lengths"":0.0,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.0,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.0,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",1,0.0,,,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,1.0,1.0,1.0,1.0,1,-4.877253738245603,-4.877253738245603,-4.877253738245603,0.0,0.48107837524863956,0.48107837524863956,0.0,1.0,1.0,1.0,0.44427723659542184,0.44427723659542184,0.0,1.0,1.0,1.0,1000,0,0,0,0,0,1,0,0,0,0,1,1,1,core
1lpg_1lpg_conf0,generation,flowr_raw,fixed,,flowr_raw_fixed,FlowR,flowr_raw_fixed,10,41,525,0.7,525,525,0,1.0,1000,525,475,0.525,"{""all_atoms_connected"":0,""bond_angles"":215,""bond_lengths"":207,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":2,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":268,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":414,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.215,""bond_lengths"":0.207,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.002,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.268,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.414,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",525,104.30470323475092,3.2935585185821687,4.253955840222938,525.0,100.0,1.0000000000000002,0.0019047619047619048,525.0000000000003,0.0019047619047619052,1.0,516.0,98.28571428571429,0.9989635865470088,0.0038095238095238095,512.6704373456704,0.0019700680272108843,0.9825581395348837,94.0,17.904761904761905,0.9387774169783724,0.0380952380952381,71.17506456334506,0.01681632653061225,0.1702127659574468,9.0,1.7142857142857142,0.8774484275863261,0.22666666666666666,6.875409809548407,0.1595174603174603,0.0,525,73.79792135013554,537.9256747840523,125.72869898116221,66.49341699038044,1.4517959606933517,3.340731198431932,0.0,0.0,0.0,1.0,1.46149843819269,3.3742268974979432,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,525,1000,1000,core
1lpg_1lpg_conf0,generation,flowr_raw,dynamic,,flowr_raw_dynamic,FlowR,flowr_raw_dynamic,10,41,112,0.7,112,112,0,1.0,200,112,88,0.56,"{""all_atoms_connected"":0,""bond_angles"":34,""bond_lengths"":36,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":47,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":79,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.17,""bond_lengths"":0.18,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.235,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.395,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",112,104.30880954476275,3.2266949437314736,4.1340143356791845,112.0,100.0,1.0000000000000002,0.008928571428571428,112.00000000000006,0.008928571428571428,1.0,111.0,99.10714285714286,0.9992761574730804,0.017857142857142856,110.62224986822285,0.009088010204081627,0.990990990990991,48.0,42.857142857142854,0.9445946269327153,0.07142857142857142,38.73391894433061,0.031568877551020405,0.3958333333333333,6.0,5.357142857142857,0.9466386287619076,0.25892857142857145,5.452906269609999,0.19738520408163268,0.0,112,74.82436174356977,356.1538384886674,125.3844707666236,49.405146466230704,1.4517959606933517,3.450297556625384,0.0,0.0,0.0,1.0,1.46149843819269,3.5001378333293625,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,200,0,0,0,0,112,200,200,core
1lpg_1lpg_conf0,generation,flowr_raw,chembl_count,,flowr_raw_chembl_count,FlowR,flowr_raw_chembl_count,10,41,109,0.7,109,109,0,1.0,193,109,84,0.5647668393782384,"{""all_atoms_connected"":0,""bond_angles"":47,""bond_lengths"":45,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":0,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":53,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":73,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.24352331606217617,""bond_lengths"":0.23316062176165803,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.0,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.27461139896373055,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.37823834196891193,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",109,104.09354526638266,3.2075002748810384,4.108217181155883,109.0,100.0,1.0,0.009174311926605505,108.99999999999997,0.009174311926605505,1.0,109.0,100.0,1.0,0.009174311926605505,108.99999999999997,0.009174311926605505,1.0,48.0,44.03669724770642,0.9423727953968402,0.08256880733944955,38.40219111269892,0.03223634374210925,0.4375,8.0,7.339449541284404,0.833525824950838,0.3577981651376147,5.659119000431108,0.21858429425132564,0.125,109,73.79792135013554,463.2476846546818,124.60601247717818,63.08074246931568,1.644213926087925,3.4486906368640233,0.0,0.0,0.0,1.0,1.6176804165698293,3.511336946435408,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,193,0,0,0,0,109,193,193,core
1mq6_1mq6_conf0,generation,flowr_raw,fixed,,flowr_raw_fixed,FlowR,flowr_raw_fixed,7,36,678,0.7,678,678,0,1.0,1000,678,322,0.678,"{""all_atoms_connected"":0,""bond_angles"":100,""bond_lengths"":99,""bonds"":0,""double_bond_stereochemistry"":0,""energy_ratio"":3,""file_loads"":0,""inchi_convertible"":0,""internal_steric_clash"":268,""molecular_formula"":0,""no_radicals"":0,""planar_aromatic_rings"":130,""planar_double_bonds"":0,""reference_file_loads"":0,""sanitisation"":0,""tetrahedral_chirality"":0}","{""all_atoms_connected"":0.0,""bond_angles"":0.1,""bond_lengths"":0.099,""bonds"":0.0,""double_bond_stereochemistry"":0.0,""energy_ratio"":0.003,""file_loads"":0.0,""inchi_convertible"":0.0,""internal_steric_clash"":0.268,""molecular_formula"":0.0,""no_radicals"":0.0,""planar_aromatic_rings"":0.13,""planar_double_bonds"":0.0,""reference_file_loads"":0.0,""sanitisation"":0.0,""tetrahedral_chirality"":0.0}",678,102.49689117861908,2.9502338236503918,3.7479494658008847,677.0,99.85250737463127,0.9999127499843695,0.0029498525073746312,676.6151219389478,0.0014792770685949478,0.9985228951255539,648.0,95.57522123893806,0.9971579495229701,0.004424778761061947,636.1863809458409,0.0016185031456391785,0.9583333333333334,67.0,9.882005899705014,0.9323631603023435,0.04424778761061947,50.41559232276669,0.02322464997694068,0.1044776119402985,6.0,0.8849557522123894,0.9198477870547007,0.26253687315634217,5.197334940175361,0.21014000922372755,0.0,678,-52.76310423148067,459.2689745742584,-18.08212686096681,43.9643871135776,1.340371186334418,2.7460565202270066,0.0,0.0,0.0,1.0,1.3357612900367428,2.7066526233915926,0.0,0.0,0.0,1.0,1000,0,0,0,0,0,1000,0,0,0,0,678,1000,1000,core
